CommBench Pro Test Report
Generated: 2026-07-10T16:17:36.680
Mode: TCP Network
Config: 172.16.32.231:10160

Summary
Total Sent: 394
Success Received: 394
Lost Packets: 0
Success Rate: 100.00%
Average Elapsed: 40.39 ms
Min Elapsed: 13 ms
Max Elapsed: 108 ms

Packet Details
ID,SentAt,ReceivedAt,ElapsedMs,Status,TX,RX
118,2026-07-10T16:13:00.246,2026-07-10T16:13:00.274,28,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
119,2026-07-10T16:13:01.248,2026-07-10T16:13:01.274,26,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
120,2026-07-10T16:13:02.248,2026-07-10T16:13:02.269,22,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
121,2026-07-10T16:13:03.248,2026-07-10T16:13:03.274,26,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
122,2026-07-10T16:13:04.242,2026-07-10T16:13:04.266,25,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
123,2026-07-10T16:13:05.248,2026-07-10T16:13:05.277,28,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
124,2026-07-10T16:13:06.249,2026-07-10T16:13:06.280,30,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
125,2026-07-10T16:13:07.243,2026-07-10T16:13:07.272,28,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
126,2026-07-10T16:13:08.245,2026-07-10T16:13:08.268,23,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
127,2026-07-10T16:13:09.244,2026-07-10T16:13:09.268,23,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
128,2026-07-10T16:13:10.246,2026-07-10T16:13:10.274,27,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
129,2026-07-10T16:13:11.249,2026-07-10T16:13:11.279,30,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
130,2026-07-10T16:13:12.241,2026-07-10T16:13:12.264,22,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
131,2026-07-10T16:13:13.247,2026-07-10T16:13:13.270,23,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
132,2026-07-10T16:13:14.249,2026-07-10T16:13:14.276,27,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
133,2026-07-10T16:13:15.248,2026-07-10T16:13:15.271,23,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
134,2026-07-10T16:13:16.246,2026-07-10T16:13:16.268,23,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
135,2026-07-10T16:13:17.248,2026-07-10T16:13:17.274,26,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
136,2026-07-10T16:13:18.247,2026-07-10T16:13:18.270,23,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
137,2026-07-10T16:13:19.249,2026-07-10T16:13:19.280,31,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
138,2026-07-10T16:13:20.248,2026-07-10T16:13:20.275,27,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
139,2026-07-10T16:13:21.248,2026-07-10T16:13:21.272,25,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
140,2026-07-10T16:13:22.248,2026-07-10T16:13:22.281,33,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
141,2026-07-10T16:13:23.247,2026-07-10T16:13:23.270,22,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
142,2026-07-10T16:13:24.247,2026-07-10T16:13:24.273,25,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
143,2026-07-10T16:13:25.240,2026-07-10T16:13:25.262,22,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
144,2026-07-10T16:13:26.246,2026-07-10T16:13:26.275,28,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
145,2026-07-10T16:13:27.247,2026-07-10T16:13:27.279,31,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
146,2026-07-10T16:13:28.246,2026-07-10T16:13:28.272,26,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
147,2026-07-10T16:13:29.248,2026-07-10T16:13:29.278,30,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
148,2026-07-10T16:13:30.243,2026-07-10T16:13:30.275,32,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
149,2026-07-10T16:13:31.247,2026-07-10T16:13:31.276,29,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
150,2026-07-10T16:13:32.246,2026-07-10T16:13:32.269,23,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
151,2026-07-10T16:13:33.247,2026-07-10T16:13:33.273,25,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
152,2026-07-10T16:13:34.248,2026-07-10T16:13:34.273,26,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
153,2026-07-10T16:13:35.247,2026-07-10T16:13:35.269,22,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
154,2026-07-10T16:13:36.248,2026-07-10T16:13:36.271,23,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
155,2026-07-10T16:13:37.247,2026-07-10T16:13:37.286,38,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
156,2026-07-10T16:13:38.248,2026-07-10T16:13:38.272,24,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
157,2026-07-10T16:13:39.242,2026-07-10T16:13:39.268,26,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
158,2026-07-10T16:13:40.243,2026-07-10T16:13:40.271,28,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
159,2026-07-10T16:13:41.248,2026-07-10T16:13:41.272,25,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
160,2026-07-10T16:13:42.248,2026-07-10T16:13:42.272,24,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
161,2026-07-10T16:13:43.245,2026-07-10T16:13:43.280,35,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
162,2026-07-10T16:13:44.248,2026-07-10T16:13:44.272,24,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
163,2026-07-10T16:13:45.247,2026-07-10T16:13:45.278,30,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
164,2026-07-10T16:13:46.240,2026-07-10T16:13:46.267,26,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
165,2026-07-10T16:13:47.247,2026-07-10T16:13:47.275,28,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
166,2026-07-10T16:13:48.243,2026-07-10T16:13:48.275,32,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
167,2026-07-10T16:13:49.247,2026-07-10T16:13:49.270,23,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
168,2026-07-10T16:13:50.248,2026-07-10T16:13:50.273,25,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
169,2026-07-10T16:13:51.242,2026-07-10T16:13:51.265,23,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
170,2026-07-10T16:13:52.249,2026-07-10T16:13:52.273,23,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
171,2026-07-10T16:13:53.247,2026-07-10T16:13:53.275,27,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
172,2026-07-10T16:13:54.248,2026-07-10T16:13:54.271,23,Success,a0 81 01 00 00 00 00 00 22,a0 00 64 81 01 00 00 10 96
